# Metadata: depth=2750, lmax=18
# -------------------------------------------------
,lon1,lat1,GLAD-M35,SEMUCB-WM1,SPiRaL-1.4,TX2019slab,Cluster,resp_C0,resp_C1,resp_C2
0,90.0,58.282525588538995,1.102801008801865,0.5467973174317895,1.5815087380043478,1.090817866982677,2,1.1892938815407983e-06,0.013747245843434874,0.9862515648626838
1,-90.0,58.282525588538995,0.9893829731775732,0.5477219403957437,-0.1111608767934057,0.4304280139198609,2,4.413071489531333e-06,0.013081497692797543,0.9869140892357128
2,58.282525588538995,0.0,0.5454978401950283,0.7543833170508643,0.7192062065723255,0.2162275673417014,2,2.3572612876815472e-07,0.01921401228743699,0.9807857519864345
3,121.717474411461,0.0,0.8676634861184362,1.0038430281490456,0.7780412706308371,0.3800294555139308,2,1.1581506405303515e-08,0.004930159009619018,0.9950698294088747
4,0.0,31.717474411461005,-1.1915489252272469,-1.0183732685459956,-0.6347714132948787,-0.6721561135437545,0,0.681874100384163,0.31795307764277553,0.0001728219730613975
5,180.0,31.717474411461005,-0.1760742897557861,-0.2909832498362604,0.0306879801302555,-0.1208968136089411,1,0.011990921993136366,0.5497725582262792,0.43823651978058437
6,-90.0,-58.28252558853899,1.1096324883009887,0.8592364349126089,0.9193861090536868,0.5471468941096314,2,1.9418153875257622e-08,0.002525038343910154,0.997474942237936
7,90.0,-58.28252558853899,-0.2543737889887577,0.0321829952506071,-0.6025628692002696,-1.0615337925012187,1,0.0032300866934957305,0.9925545573515103,0.004215355954993959
8,-121.717474411461,0.0,0.2384316391574907,0.0950690398774797,0.9032004534044829,-0.1227734627837408,2,5.7535341215939845e-05,0.17147126703699536,0.8284711976217887
9,-58.282525588538995,0.0,0.2947746696676636,-0.0026448279638525,-0.6501794357178468,0.6600871675888823,2,0.00166621377463072,0.16538534304854333,0.8329484431768257
10,-180.0,-31.717474411460998,-0.6928044036482953,-0.2239103068447277,-0.4245444460439572,-0.860901174788851,1,0.028162837421751775,0.966671814858195,0.005165347720053344
11,0.0,-31.717474411460998,-3.2067980260280358,-1.596554232775016,-1.8389048192730209,-2.661051940809163,0,0.999982481664829,1.7518335170978974e-05,4.739352538598968e-20
12,90.0,61.59637546644743,1.0579570778422978,0.6057752210811406,1.4542126185340272,1.1245070966596649,2,7.988296986009229e-07,0.01050599285703534,0.9894932083132658
13,90.0,65.13107488153803,0.923697767844536,0.7046733481531704,1.261125784309987,1.0197266884933172,2,3.1890901956365863e-07,0.00792960270357897,0.9920700783874014
14,90.0,68.87988715567603,0.7480705612269847,0.6673258593373943,0.9734819847505845,0.7354983533630117,2,3.8222269041515256e-07,0.00822314015869853,0.9917764776186112
15,90.0,72.82796214948615,0.7155240423002134,0.4192622645453007,0.7021196306293904,0.4292137142829246,2,2.3342677919406724e-06,0.011296889620042074,0.9887007761121659
16,90.0,76.95134895997649,0.8026723175806751,0.1242199151108462,0.393599059022815,0.2553494109231747,2,2.380692648400428e-05,0.01465447488484673,0.9853217181886692
17,90.0,81.21676939904101,0.8538753784240525,0.2411546541522737,0.035911259008627,0.2544764397792192,2,2.570357477441809e-05,0.019893921988236224,0.9800803744369893
18,90.0,85.58243200046918,0.7749341877979312,0.6330651431031078,-0.2133885392643774,0.3788027300229443,2,5.9790951379208355e-06,0.024770818632844797,0.975223202272017
19,0.0,90.0,0.7552271363226176,0.9629041373549334,-0.0136407830504187,0.4677861945265358,2,3.236428690907752e-07,0.010858297805950217,0.9891413785511806
20,-90.0,85.58243200046918,0.919465225110794,0.7345645486780155,0.45293360005247,0.5149398563849884,2,2.3322639857759093e-07,0.004676174527540608,0.9953235922460607
21,-90.0,81.21676939904101,1.2194612975523178,0.427183966473487,0.8506761797083029,0.5289497330715132,2,5.677405654308626e-07,0.00271318791586682,0.9972862443435678
22,-90.0,76.95134895997649,1.2267399216432509,0.3854637598482557,0.7193775598072502,0.4990018436158804,2,9.232707006413074e-07,0.002813056666365641,0.9971860200629339
23,-90.0,72.82796214948615,0.9324162249088704,0.7232959903074981,0.3356711086108132,0.4172668853162383,2,3.188661294297717e-07,0.006043197606130524,0.9939564835277401
24,-90.0,68.87988715567603,0.5657417458477859,0.93659207875915,0.0303217379171482,0.3067481464234599,2,5.58742009962952e-07,0.021229256419031107,0.9787701848389592
25,-90.0,65.13107488153803,0.4495032854421054,0.9061879328003302,-0.0548434146627459,0.2403876645973982,2,1.4214311755849668e-06,0.03765291993645795,0.9623456586323665
26,-90.0,61.59637546644743,0.6018179478309547,0.6874570545985434,-0.0527222350901057,0.2679194165971167,2,3.656717447074801e-06,0.029621548984751767,0.9703747942978012
27,86.55634526478049,55.5522456067903,1.0521575325416912,0.4962873405286803,1.5867577818124476,0.8670803541592799,2,9.368763779585404e-07,0.014286314591664752,0.9857127485319571
28,83.38124122795004,52.548013911480844,0.8389116326453026,0.5559922368389691,1.3733265667444916,0.4502497868197416,2,2.7168441667846623e-07,0.015391846753242039,0.9846078815623412
29,80.46176981331368,49.2813489417896,0.5947395508110898,0.5408328638906232,0.9080672923236984,0.1318234341066273,2,6.348752962322189e-07,0.02507467739837473,0.974924687726329
30,77.78168013375125,45.77176174557145,0.5656552138065474,0.272953387835193,0.5725352663786598,0.0400548571504351,2,1.0020393974291767e-05,0.03490820721142332,0.9650817723946024
31,75.32306314507449,42.047607365271745,0.6936288141577859,-0.1178990177430359,0.2461377369015296,0.0351720164405835,2,0.00022051285434023323,0.03716655110527655,0.9626129360403834
32,73.06756208487417,38.14623523799724,0.8269291080358534,-0.2800869791136524,0.2634042881698586,0.1017838164145426,2,0.00043530853238903593,0.024356618165543884,0.9752080733020669
33,70.9971901899575,34.11314212374711,0.7519385206132839,-0.1440777961740276,0.4428270551213822,0.1598900439609347,2,0.00014826953264151716,0.02182065393094233,0.9780310765364161
34,69.0948425521107,30.000000000000007,0.5229555763202728,0.0022672359259487,0.6489213258363808,0.2025881942269868,2,7.801823021790538e-05,0.03747251296196246,0.9624494688078196
35,67.34458395404542,25.86169335300052,0.2819476875449398,-0.1022105194815328,0.7134437662263743,0.1727660635765504,2,0.00034540965479814,0.10294555962232715,0.8967090307228748
36,65.73178082443964,21.752774765421478,0.2384284929055259,-0.3835776497414285,0.670787009767676,0.0939867350276301,2,0.0026320003861348257,0.15541550492374764,0.8419524946901178
37,64.24312988647836,17.723925443742672,0.0508755002066008,-0.6139203663119654,0.5082215658471294,-0.0901067790123104,2,0.021014063659445484,0.34642702907664324,0.6325589072639115
38,62.86662195914693,13.81900920605176,-0.0630099245314932,-0.5319280735356945,0.4904901417004048,-0.2029090313711808,2,0.017121945940129477,0.48902546506790096,0.49385258899196954
39,61.59146790148185,10.073134534867378,-0.1971573877638509,-0.2607525809157533,0.5403227764906252,-0.2366301033367664,1,0.004259948001282144,0.6131907441407891,0.38254930785792873
40,60.408004970470145,6.5118687879775905,-0.1777498206996612,0.145997666630837,0.585329280127908,-0.1647002036912199,2,0.0003099838189274439,0.48323177428450464,0.5164582418965679
41,59.3075955285342,3.1514905270898623,0.148787208517905,0.4761008204675487,0.6545825264206513,0.0129087040130492,2,9.046872799463404e-06,0.12029701862048707,0.8796939345067135
42,93.44365473521951,55.5522456067903,1.059237672610421,0.6272027461981158,1.5379093375662467,1.150954072251994,2,7.93611160239252e-07,0.01349064596644114,0.986508560422399
43,96.61875877204994,52.548013911480844,0.9892989197968324,0.701304699357409,1.4111761417901558,1.2016669949031131,2,5.465036173442624e-07,0.011350849685882217,0.9886486038105005
44,99.53823018668633,49.2813489417896,0.919091029577926,0.7764462338593403,1.2094185518593976,1.206699476261964,2,3.1874153360461663e-07,0.007600709744769591,0.9923989715136965
45,102.21831986624875,45.77176174557145,0.922544887369835,0.973182780633439,1.0470482964881276,1.249396787813096,2,6.856638100700095e-08,0.003923108169161372,0.9960768232644576
46,104.67693685492553,42.047607365271745,0.9889937943285708,1.238610208875584,0.8727082096859577,1.394708905803349,2,1.0652111778707009e-08,0.0016988406401669653,0.998301148707721
47,106.93243791512583,38.14623523799724,1.0592070882943485,1.292400080209699,0.8146099018765044,1.5895138815749543,2,1.0630178395887465e-08,0.0014122083014364614,0.998587781068385
48,109.00280981004252,34.11314212374711,1.1454315988561108,1.0044507712318376,0.7960830968257657,1.6869538553930012,2,1.1325460889102109e-07,0.0021677679599036467,0.9978321187854874
